-a	-M/REM
ē-r-ūs-m-à	come-PFV-3SG-1SG-REM
ē-r-ūs-r-à	come-PFV-3SG-2SG-REM
ē-r-ūs-s-à	come-PFV-3SG-3SG-REM
ē-r-ūm-màn-à	come-PFV-1SG-1PL-REM
ē-r-ūm-ràn-à	come-PFV-1SG-2PL-REM
ē-r-ūm-sàn-à	come-PFV-1SG-3PL-REM
ē-r-ūr-màn-à	come-PFV-2SG-1PL-REM
ē-r-ūr-ràn-à	come-PFV-2SG-1PL-REM
ē-r-ūr-sàn-à	come-PFV-2SG-3PL-REM
ē-r-ūs-màn-à	come-PFV-3SG-1PL-REM
ē-r-ūs-ràn-à	come-PFV-3SG-2PL-REM
ē-r-ūs-sàn-à	come-PFV-3SG-3PL-REM
gà-r-ūm	go-PFV-1SG
gà-r-ūr	go-PFV-2SG
gà-r-ūm-i	go-PFV-1SG-PRES
gà-r-ūr-i	go-PFV-2SG-PRES
gà-r-ūm-à	go-PFV-1SG-REM
gà-r-ūr-à	go-PFV-2SG-REM
gà-r-ūm-ir	go-PFV-1SG-2SG
gà-r-ūm-is	go-PFV-1SG-3SG
gà-r-ūr-im	go-PFV-2SG-1SG
gà-r-ūr-is	go-PFV-2SG-3SG
gà-r-ūs-im	go-PFV-3SG-1SG
gà-r-ūs-ir	go-PFV-3SG-2SG
gà-r-ūs-is	go-PFV-3SG-3SG
gà-r-ūm-màn	go-PFV-1SG-1PL
gà-r-ūm-ràn	go-PFV-1SG-2PL
gà-r-ūm-sàn	go-PFV-1SG-3PL
gà-r-ūr-màn	go-PFV-2SG-1PL
gà-r-ūr-ràn	go-PFV-2SG-1PL
gà-r-ūr-sàn	go-PFV-2SG-3PL
gà-r-ūs-màn	go-PFV-3SG-1PL
gà-r-ūs-ràn	go-PFV-3SG-2PL
gà-r-ūs-sàn	go-PFV-3SG-3PL
gà-r-ūm-r-i	go-PFV-1SG-2SG-PRES
gà-r-ūm-s-i	go-PFV-1SG-3SG-PRES
gà-r-ūr-m-i	go-PFV-2SG-1SG-PRES
gà-r-ūr-s-i	go-PFV-2SG-3SG-PRES
gà-r-ūs-m-i	go-PFV-3SG-1SG-PRES
gà-r-ūs-r-i	go-PFV-3SG-2SG-PRES
gà-r-ūs-s-i	go-PFV-3SG-3SG-PRES
gà-r-ūm-màn-i	go-PFV-1SG-1PL-PRES
gà-r-ūm-ràn-i	go-PFV-1SG-2PL-PRES
gà-r-ūm-sàn-i	go-PFV-1SG-3PL-PRES
gà-r-ūr-màn-i	go-PFV-2SG-1PL-PRES
gà-r-ūr-ràn-i	go-PFV-2SG-1PL-PRES
gà-r-ūr-sàn-i	go-PFV-2SG-3PL-PRES
gà-r-ūs-màn-i	go-PFV-3SG-1PL-PRES
gà-r-ūs-ràn-i	go-PFV-3SG-2PL-PRES
gà-r-ūs-sàn-i	go-PFV-3SG-3PL-PRES
gà-r-ūm-r-à	go-PFV-1SG-2SG-REM
gà-r-ūm-s-à	go-PFV-1SG-3SG-REM
gà-r-ūr-m-à	go-PFV-2SG-1SG-REM
gà-r-ūr-s-à	go-PFV-2SG-3SG-REM
gà-r-ūs-m-à	go-PFV-3SG-1SG-REM
gà-r-ūs-r-à	go-PFV-3SG-2SG-REM
gà-r-ūs-s-à	go-PFV-3SG-3SG-REM
gà-r-ūm-màn-à	go-PFV-1SG-1PL-REM
gà-r-ūm-ràn-à	go-PFV-1SG-2PL-REM
gà-r-ūm-sàn-à	go-PFV-1SG-3PL-REM
gà-r-ūr-màn-à	go-PFV-2SG-1PL-REM
gà-r-ūr-ràn-à	go-PFV-2SG-1PL-REM
gà-r-ūr-sàn-à	go-PFV-2SG-3PL-REM
gà-r-ūs-màn-à	go-PFV-3SG-1PL-REM
gà-r-ūs-ràn-à	go-PFV-3SG-2PL-REM
gà-r-ūs-sàn-à	go-PFV-3SG-3PL-REM
-h-r-ūm-à	-VITR-PFV-1SG-REM
-h-r-ūr-à	-VITR-PFV-2SG-REM
xàllī-hūm	leave/let-3PL
ḍàll-ū	keep-3SG.M
ḍàll-hūm	keep-3PL
àdžūti	today	adv
bàkàlūris	baccalaureate	n	Ar.
bàlkūn	balcony	n	Ar.
bàndūrà	tomato	n	Ar.
bàntàlūn	trousers	n	Ar.
bàrdū	also	part	Ar.
būstàdži	postman	n	Ar.
dūzdàn	wallet	n
ḍàllū	stay/keep	v aux	Ar.
fàkkirhū-	think-	v	Ar.
kàhindū-	look.at-	v
màlyūn	million	num	Ar.
mūzà	shoe	n
nūhrà	red/English	adj
ūrà-	that.OBL pron
prūtkīlà	Jew	n
prūtkīliyà	Jewess	n
qūwà	prophet	n
stànnhū-	wait-	v	Ar.
ṣnūṭà	dog	n
tūšàhr-	wander-	v	Ar.
wàqtūs	then	adv	Ar.
àb-ūs-ke	for-3SG-BEN
àb-ūs-kà	for-3SG-DAT	Mac
kūnnà	COP.1PL
xàllī-kūm	leave/let-2PL
àbū	Abu	n	Ar.
àmbūlàns	ambulance	n	Ar.
àtū	you	pron
àtūn	above	adv
bàwūsk-	kiss-	v	Ar.
bsūṭàhr-	be.happy-	v	Ar.
dūsàrà	black	adj
dūsàr-	black-	adj
džūmʕà	week	n	Ar.
fàūràn	immediately	adv	Ar.
gūldà	sweet	adj
gūldà	tea	n
hūndàr	there	adv
ḥàwūk-	drive.away-	v	Ar.
istàwṭūnàhr-	settle-	v	Ar.
kūndàre	shoes	n	Ar.
màmlūḥ	salted	adj	Ar.
mànūs	person	n
mūddàʕi	prosecutor	n	Ar.
mūsāʕàde	help	n	Ar.
mūstàšfà	hospital	n	Ar.
mūtàrdžim	translator	n	Ar.
mūtbàx	kitchen	n	Ar.
nqūlàhr-	move-	v	Ar.
qūmnà	eat	v
rūdàhr-	accept-	v	Ar.
skūnàhr-	live-	v	Ar.
skūrràhr-	get.drunk-	v	Ar.
sūkkàr	sugar	n	Ar.
šūkkàhr-	suspect-	v	Ar.
šūknà	oil	n
tàqāʕūd	pension	n	Ar.
tūndžàr	pot	n	Ar.
tūrdžmàn	translator	n	Ar.
ūràti	tomorrow	adv
wūdà	old.man	n
xūḍrà	vegetables	n	Ar.
xūdwàr	child	n
xūyà	God	n	Kurd.
zhūràhr-	appear-	v	Ar.
-ur-ta	-2SG-DAT
-ur-ki	-2SG-ABL
-ur-ma	-2SG-LOC
-ur-ka	-2SG-DAT
-ur-ke	-2SG-BEN
-ur-kara	-2SG-BEN
-ur-san	-2SG-SOC
-ur	-2SG
-am-ur	-1SG-2SG
-ar-ur	-3SG-2SG
-an-ur	-1PL-2SG
-as-ur	-2PL-2SG
-ad-ur	-3PL-2SG
-am-ur-a	-1SG-2SG-REM
-naw-am-ur	-CAUS-1SG-2SG
-naw-ar-ur	-CAUS-3SG-2SG
-naw-an-ur	-CAUS-1PL-2SG
-naw-as-ur	-CAUS-2PL-2SG
-naw-ad-ur	-CAUS-3PL-2SG
-naw-am-ur-a	-CAUS-1SG-2SG-REM
-k-am-ur	-1SG-2SG
-k-ar-ur	-3SG-2SG
-k-an-ur	-1PL-2SG
-k-as-ur	-2PL-2SG
-k-ad-ur	-3PL-2SG
-k-am-ur-a	-1SG-2SG-REM
-om-ur	-1SG-2SG
-or-ur	-3SG-2SG
-on-ur	-1PL-2SG
-os-ur	-2PL-2SG
-od-ur	-3PL-2SG
-om-ur-a	-1SG-2SG-REM
de-m-ur	give-1SG-2SG
de-r-ur	give-3SG-2SG
de-n-ur	give-1PL-2SG
de-s-ur	give-2PL-2SG
de-d-ur	give-3PL-2SG
de-m-ur-a	give-1SG-2SG-REM
-d-om-ur	-PFV-1SG-2SG
-d-os-ur	-PFV-3SG-2SG
-d-ēn-ur	-PFV-1PL-2SG
-d-ēs-ur	-PFV-2PL-2SG
-d-ēd-ur	-PFV-3PL-2SG
-id-om-ur	-PFV-1SG-2SG
-id-os-ur	-PFV-3SG-2SG
-id-ēn-ur	-PFV-1PL-2SG
-id-ēs-ur	-PFV-2PL-2SG
-id-ēd-ur	-PFV-3PL-2SG
-urd-om	-PFV-1SG
-urd-or	-PFV-2SG
-urd-a	-PFV-3SG.M
-urd-i	-PFV-3SG.F
-urd-ēn	-PFV-1PL
-urd-ēs	-PFV-2PL
-urd-e	-PFV-3PL
-urd-om-i	-PFV-1SG-PRES
-urd-or-i	-PFV-2SG-PRES
-urd-ēk	-PFV-PRED.SG.M
-urd-ik	-PFV-PRED.SG.F
-urd-ēn-i	-PFV-1PL-PRES
-urd-ēs-i	-PFV-2PL-PRES
-urd-ēd-i	-PFV-3PL-PRES
-urd-om-a	-PFV-1SG-REM
-urd-or-a	-PFV-2SG-REM
-urd-ēy-a	-PFV-3SG.M-REM
-urd-īy-a	-PFV-3SG.F-REM
-urd-ēn-a	-PFV-1PL-REM
-urd-ēs-a	-PFV-2PL-REM
-urd-ēd-a	-PFV-3PL-REM
-urd-om-ur	-PFV-1SG-2SG
-urd-om-is	-PFV-1SG-3SG
-urd-or-im	-PFV-2SG-1SG
-urd-or-is	-PFV-2SG-3SG
-urd-os-im	-PFV-3SG-1SG
-urd-os-ur	-PFV-3SG-2SG
-urd-os-is	-PFV-3SG-3SG
-urd-ēn-im	-PFV-1PL-1SG
-urd-ēn-ur	-PFV-1PL-2SG
-urd-ēn-is	-PFV-1PL-3SG
-urd-ēs-im	-PFV-2PL-1SG
-urd-ēs-ur	-PFV-2PL-2SG
-urd-ēs-is	-PFV-2PL-3SG
-urd-ēd-im	-PFV-3PL-1SG
-urd-ēd-ur	-PFV-3PL-2SG
-urd-ēd-is	-PFV-3PL-3SG
-urd-om-man	-PFV-1SG-1PL
-urd-om-ran	-PFV-1SG-2PL
-urd-om-san	-PFV-1SG-3PL
-urd-or-man	-PFV-2SG-1PL
-urd-or-ran	-PFV-2SG-1PL
-urd-or-san	-PFV-2SG-3PL
-urd-os-man	-PFV-3SG-1PL
-urd-os-ran	-PFV-3SG-2PL
-urd-os-san	-PFV-3SG-3PL
-urd-ēn-man	-PFV-1PL-1PL
-urd-ēn-ran	-PFV-1PL-2PL
-urd-ēn-san	-PFV-1PL-3PL
-urd-ēs-man	-PFV-2PL-1PL
-urd-ēs-ran	-PFV-2PL-2PL
-urd-ēs-san	-PFV-2PL-3PL
-urd-ed-man	-PFV-3PL-1PL
-urd-ed-ran	-PFV-3PL-2PL
-urd-ed-san	-PFV-3PL-3PL
-urd-om-r-i	-PFV-1SG-2SG-PRES
-urd-om-s-i	-PFV-1SG-3SG-PRES
-urd-or-m-i	-PFV-2SG-1SG-PRES
-urd-or-s-i	-PFV-2SG-3SG-PRES
-urd-os-m-i	-PFV-3SG-1SG-PRES
-urd-os-r-i	-PFV-3SG-2SG-PRES
-urd-os-s-i	-PFV-3SG-3SG-PRES
-urd-ēn-m-i	-PFV-1PL-1SG-PRES
-urd-ēn-r-i	-PFV-1PL-2SG-PRES
-urd-ēn-s-i	-PFV-1PL-3SG-PRES
-urd-ēs-m-i	-PFV-2PL-1SG-PRES
-urd-ēs-r-i	-PFV-2PL-2SG-PRES
-urd-ēs-s-i	-PFV-2PL-3SG-PRES
-urd-ed-m-i	-PFV-3PL-1SG-PRES
-urd-ed-r-i	-PFV-3PL-2SG-PRES
-urd-ed-s-i	-PFV-3PL-3SG-PRES
-urd-om-man-i	-PFV-1SG-1PL-PRES
-urd-om-ran-i	-PFV-1SG-2PL-PRES
-urd-om-san-i	-PFV-1SG-3PL-PRES
-urd-or-man-i	-PFV-2SG-1PL-PRES
-urd-or-ran-i	-PFV-2SG-1PL-PRES
-urd-or-san-i	-PFV-2SG-3PL-PRES
-urd-os-man-i	-PFV-3SG-1PL-PRES
-urd-os-ran-i	-PFV-3SG-2PL-PRES
-urd-os-san-i	-PFV-3SG-3PL-PRES
-urd-ēn-man-i	-PFV-1PL-1PL-PRES
-urd-ēn-ran-i	-PFV-1PL-2PL-PRES
-urd-ēn-san-i	-PFV-1PL-3PL-PRES
-urd-ēs-man-i	-PFV-2PL-1PL-PRES
-urd-ēs-ran-i	-PFV-2PL-2PL-PRES
-urd-ēs-san-i	-PFV-2PL-3PL-PRES
-urd-ed-man-i	-PFV-3PL-1PL-PRES
-urd-ed-ran-i	-PFV-3PL-2PL-PRES
-urd-ed-san-i	-PFV-3PL-3PL-PRES
-urd-om-r-a	-PFV-1SG-2SG-REM
-urd-om-s-a	-PFV-1SG-3SG-REM
-urd-or-m-a	-PFV-2SG-1SG-REM
-urd-or-s-a	-PFV-2SG-3SG-REM
-urd-os-m-a	-PFV-3SG-1SG-REM
-urd-os-r-a	-PFV-3SG-2SG-REM
-urd-os-s-a	-PFV-3SG-3SG-REM
-urd-ēn-m-a	-PFV-1PL-1SG-REM
-urd-ēn-r-a	-PFV-1PL-2SG-REM
-urd-ēn-s-a	-PFV-1PL-3SG-REM
-urd-ēs-m-a	-PFV-2PL-1SG-REM
-urd-ēs-r-a	-PFV-2PL-2SG-REM
-urd-ēs-s-a	-PFV-2PL-3SG-REM
-urd-ed-m-a	-PFV-3PL-1SG-REM
-urd-ed-r-a	-PFV-3PL-2SG-REM
-urd-ed-s-a	-PFV-3PL-3SG-REM
-urd-om-man-a	-PFV-1SG-1PL-REM
-urd-om-ran-a	-PFV-1SG-2PL-REM
-urd-om-san-a	-PFV-1SG-3PL-REM
-urd-or-man-a	-PFV-2SG-1PL-REM
-urd-or-ran-a	-PFV-2SG-1PL-REM
-urd-or-san-a	-PFV-2SG-3PL-REM
-urd-os-man-a	-PFV-3SG-1PL-REM
-urd-os-ran-a	-PFV-3SG-2PL-REM
-urd-os-san-a	-PFV-3SG-3PL-REM
-urd-ēn-man-a	-PFV-1PL-1PL-REM
-urd-ēn-ran-a	-PFV-1PL-2PL-REM
-urd-ēn-san-a	-PFV-1PL-3PL-REM
-urd-ēs-man-a	-PFV-2PL-1PL-REM
-urd-ēs-ran-a	-PFV-2PL-2PL-REM
-urd-ēs-san-a	-PFV-2PL-3PL-REM
-urd-ed-man-a	-PFV-3PL-1PL-REM
-urd-ed-ran-a	-PFV-3PL-2PL-REM
-urd-ed-san-a	-PFV-3PL-3PL-REM
-ind-om-ur	-PFV-1SG-2SG
-ind-os-ur	-PFV-3SG-2SG
-ind-ēn-ur	-PFV-1PL-2SG
-ind-ēs-ur	-PFV-2PL-2SG
-ind-ēd-ur	-PFV-3PL-2SG
-k-ed-om-ur	-VTR-PFV-1SG-2SG
-k-ed-os-ur	-VTR-PFV-3SG-2SG
-k-ed-ēn-ur	-VTR-PFV-1PL-2SG
-k-ed-ēs-ur	-VTR-PFV-2PL-2SG
-k-ed-ēd-ur	-VTR-PFV-3PL-2SG
-naw-id-om-ur	-CAUS-PFV-1SG-2SG
-naw-id-os-ur	-CAUS-PFV-3SG-2SG
-naw-id-ēn-ur	-CAUS-PFV-1PL-2SG
-naw-id-ēs-ur	-CAUS-PFV-2PL-2SG
-naw-id-ēd-ur	-CAUS-PFV-3PL-2SG
-r-om-ur	-PFV-1SG-2SG
-r-os-ur	-PFV-3SG-2SG
-r-ēn-ur	-PFV-1PL-2SG
-r-ēs-ur	-PFV-2PL-2SG
-r-ēd-ur	-PFV-3PL-2SG
-ur-om	-PFV-1SG
-ur-or	-PFV-2SG
-ur-a	-PFV-3SG.M
-ur-i	-PFV-3SG.F
-ur-ēn	-PFV-1PL
-ur-ēs	-PFV-2PL
-ur-e	-PFV-3PL
-ur-om-i	-PFV-1SG-PRES
-ur-or-i	-PFV-2SG-PRES
-ur-ēk	-PFV-PRED.SG.M
-ur-ik	-PFV-PRED.SG.F
-ur-ēn-i	-PFV-1PL-PRES
-ur-ēs-i	-PFV-2PL-PRES
-ur-ēd-i	-PFV-3PL-PRES
-ur-om-a	-PFV-1SG-REM
-ur-or-a	-PFV-2SG-REM
-ur-ēy-a	-PFV-3SG.M-REM
-ur-īy-a	-PFV-3SG.F-REM
-ur-ēn-a	-PFV-1PL-REM
-ur-ēs-a	-PFV-2PL-REM
-ur-ēd-a	-PFV-3PL-REM
-ur-om-ur	-PFV-1SG-2SG
-ur-om-is	-PFV-1SG-3SG
-ur-or-im	-PFV-2SG-1SG
-ur-or-is	-PFV-2SG-3SG
-ur-os-im	-PFV-3SG-1SG
-ur-os-ur	-PFV-3SG-2SG
-ur-os-is	-PFV-3SG-3SG
-ur-ēn-im	-PFV-1PL-1SG
-ur-ēn-ur	-PFV-1PL-2SG
-ur-ēn-is	-PFV-1PL-3SG
-ur-ēs-im	-PFV-2PL-1SG
-ur-ēs-ur	-PFV-2PL-2SG
-ur-ēs-is	-PFV-2PL-3SG
-ur-ēd-im	-PFV-3PL-1SG
-ur-ēd-ur	-PFV-3PL-2SG
-ur-ēd-is	-PFV-3PL-3SG
-ur-om-man	-PFV-1SG-1PL
-ur-om-ran	-PFV-1SG-2PL
-ur-om-san	-PFV-1SG-3PL
-ur-or-man	-PFV-2SG-1PL
-ur-or-ran	-PFV-2SG-1PL
-ur-or-san	-PFV-2SG-3PL
-ur-os-man	-PFV-3SG-1PL
-ur-os-ran	-PFV-3SG-2PL
-ur-os-san	-PFV-3SG-3PL
-ur-ēn-man	-PFV-1PL-1PL
-ur-ēn-ran	-PFV-1PL-2PL
-ur-ēn-san	-PFV-1PL-3PL
-ur-ēs-man	-PFV-2PL-1PL
-ur-ēs-ran	-PFV-2PL-2PL
-ur-ēs-san	-PFV-2PL-3PL
-ur-ed-man	-PFV-3PL-1PL
-ur-ed-ran	-PFV-3PL-2PL
-ur-ed-san	-PFV-3PL-3PL
-ur-om-r-i	-PFV-1SG-2SG-PRES
-ur-om-s-i	-PFV-1SG-3SG-PRES
-ur-or-m-i	-PFV-2SG-1SG-PRES
-ur-or-s-i	-PFV-2SG-3SG-PRES
-ur-os-m-i	-PFV-3SG-1SG-PRES
-ur-os-r-i	-PFV-3SG-2SG-PRES
-ur-os-s-i	-PFV-3SG-3SG-PRES
-ur-ēn-m-i	-PFV-1PL-1SG-PRES
-ur-ēn-r-i	-PFV-1PL-2SG-PRES
-ur-ēn-s-i	-PFV-1PL-3SG-PRES
-ur-ēs-m-i	-PFV-2PL-1SG-PRES
-ur-ēs-r-i	-PFV-2PL-2SG-PRES
-ur-ēs-s-i	-PFV-2PL-3SG-PRES
-ur-ed-m-i	-PFV-3PL-1SG-PRES
-ur-ed-r-i	-PFV-3PL-2SG-PRES
-ur-ed-s-i	-PFV-3PL-3SG-PRES
-ur-om-man-i	-PFV-1SG-1PL-PRES
-ur-om-ran-i	-PFV-1SG-2PL-PRES
-ur-om-san-i	-PFV-1SG-3PL-PRES
-ur-or-man-i	-PFV-2SG-1PL-PRES
-ur-or-ran-i	-PFV-2SG-1PL-PRES
-ur-or-san-i	-PFV-2SG-3PL-PRES
-ur-os-man-i	-PFV-3SG-1PL-PRES
-ur-os-ran-i	-PFV-3SG-2PL-PRES
-ur-os-san-i	-PFV-3SG-3PL-PRES
-ur-ēn-man-i	-PFV-1PL-1PL-PRES
-ur-ēn-ran-i	-PFV-1PL-2PL-PRES
-ur-ēn-san-i	-PFV-1PL-3PL-PRES
-ur-ēs-man-i	-PFV-2PL-1PL-PRES
-ur-ēs-ran-i	-PFV-2PL-2PL-PRES
-ur-ēs-san-i	-PFV-2PL-3PL-PRES
-ur-ed-man-i	-PFV-3PL-1PL-PRES
-ur-ed-ran-i	-PFV-3PL-2PL-PRES
-ur-ed-san-i	-PFV-3PL-3PL-PRES
-ur-om-r-a	-PFV-1SG-2SG-REM
-ur-om-s-a	-PFV-1SG-3SG-REM
-ur-or-m-a	-PFV-2SG-1SG-REM
-ur-or-s-a	-PFV-2SG-3SG-REM
-ur-os-m-a	-PFV-3SG-1SG-REM
-ur-os-r-a	-PFV-3SG-2SG-REM
-ur-os-s-a	-PFV-3SG-3SG-REM
-ur-ēn-m-a	-PFV-1PL-1SG-REM
-ur-ēn-r-a	-PFV-1PL-2SG-REM
-ur-ēn-s-a	-PFV-1PL-3SG-REM
-ur-ēs-m-a	-PFV-2PL-1SG-REM
-ur-ēs-r-a	-PFV-2PL-2SG-REM
-ur-ēs-s-a	-PFV-2PL-3SG-REM
-ur-ed-m-a	-PFV-3PL-1SG-REM
-ur-ed-r-a	-PFV-3PL-2SG-REM
-ur-ed-s-a	-PFV-3PL-3SG-REM
-ur-om-man-a	-PFV-1SG-1PL-REM
-ur-om-ran-a	-PFV-1SG-2PL-REM
-ur-om-san-a	-PFV-1SG-3PL-REM
-ur-or-man-a	-PFV-2SG-1PL-REM
-ur-or-ran-a	-PFV-2SG-1PL-REM
-ur-or-san-a	-PFV-2SG-3PL-REM
-ur-os-man-a	-PFV-3SG-1PL-REM
-ur-os-ran-a	-PFV-3SG-2PL-REM
-ur-os-san-a	-PFV-3SG-3PL-REM
-ur-ēn-man-a	-PFV-1PL-1PL-REM
-ur-ēn-ran-a	-PFV-1PL-2PL-REM
-ur-ēn-san-a	-PFV-1PL-3PL-REM
-ur-ēs-man-a	-PFV-2PL-1PL-REM
-ur-ēs-ran-a	-PFV-2PL-2PL-REM
-ur-ēs-san-a	-PFV-2PL-3PL-REM
-ur-ed-man-a	-PFV-3PL-1PL-REM
-ur-ed-ran-a	-PFV-3PL-2PL-REM
-ur-ed-san-a	-PFV-3PL-3PL-REM
t-om-ur	give.PFV-1SG-2SG
t-os-ur	give.PFV-3SG-2SG
t-ēn-ur	give.PFV-1PL-2SG
t-ēs-ur	give.PFV-2PL-2SG
t-ed-ur	give.PFV-3PL-2SG
ē-r-om-ur	come-PFV-1SG-2SG
ē-r-os-ur	come-PFV-3SG-2SG
ē-r-ēn-ur	come-PFV-1PL-2SG
ē-r-ēs-ur	come-PFV-2PL-2SG
ē-r-ed-ur	come-PFV-3PL-2SG
ga-r-om-ur	go-PFV-1SG-2SG
ga-r-os-ur	go-PFV-3SG-2SG
ga-r-gan-ur	go-PFV-1PL-2SG
ga-r-gas-ur	go-PFV-2PL-2SG
ga-r-ed-ur	go-PFV-3PL-2SG
ṣurt	begin.1SG/2SG
ṣurnā	begin.1PL
ṣurtū	begin.2PL
agur	in.front.of	prep
āxur	last	adj	Ar.
bil’āxur	finally	adv	Ar.
dabburk-	organise/manage-	v	Ar.
dura	far.away	adj
durga	long	adj
durg-	long	adj
durd-	cut-	v
durd-	tear-	v
džatur	son.in.law	n
džuwur	woman	n
fakkurho-	think-	v	Ar.
fikkuro-	think-	v	Ar.
gur-	return-	v
gury-	enter-	v
ɣayyurk-	change-	v	Ar.
iḥturām	respect	n	Ar.
komur	coal	n	Turk.
manāzur	scenes	n	Ar.
mindur-	stand-	v
mindurš-	stand-	v
murna	dead.person	n
mišturd-	kiss-	v
purin	nose	n
qurd	monkey	n	Ar.
qurš	penny	n	Ar.
saffurk-	deport-	v	Ar.
sakkur-	shut-	v	Ar.
sakkurk-	shut-	v	Ar.
suri	head	n
ṣawwurk-	photograph-	v	Ar.
šawādur	nylon.covers	n	Ar.
šurd-	say-	v
turd-	put-	v
tursala	thursty	adj
turd-	put-	v
zakkurahr-	remember-	v	Ar.
žurān	neighbour	n	Ar.
-ōm-ur	-1SG-2SG
-ōr-ur	-3SG-2SG
-ōn-ur	-1PL-2SG
-ōs-ur	-2PL-2SG
-ōd-ur	-3PL-2SG
-ōm-ur-a	-1SG-2SG-REM
-d-ōm-ur	-PFV-1SG-2SG
-d-ōs-ur	-PFV-3SG-2SG
-id-ōm-ur	-PFV-1SG-2SG
-id-ōs-ur	-PFV-3SG-2SG
-urd-ōm	-PFV-1SG
-urd-ōr	-PFV-2SG
-urd-ōm-i	-PFV-1SG-PRES
-urd-ōr-i	-PFV-2SG-PRES
-urd-ōm-a	-PFV-1SG-REM
-urd-ōr-a	-PFV-2SG-REM
-urd-ōm-ur	-PFV-1SG-2SG
-urd-ōm-is	-PFV-1SG-3SG
-urd-ōr-im	-PFV-2SG-1SG
-urd-ōr-is	-PFV-2SG-3SG
-urd-ōs-im	-PFV-3SG-1SG
-urd-ōs-ur	-PFV-3SG-2SG
-urd-ōs-is	-PFV-3SG-3SG
-urd-ōm-man	-PFV-1SG-1PL
-urd-ōm-ran	-PFV-1SG-2PL
-urd-ōm-san	-PFV-1SG-3PL
-urd-ōr-man	-PFV-2SG-1PL
-urd-ōr-ran	-PFV-2SG-1PL
-urd-ōr-san	-PFV-2SG-3PL
-urd-ōs-man	-PFV-3SG-1PL
-urd-ōs-ran	-PFV-3SG-2PL
-urd-ōs-san	-PFV-3SG-3PL
-urd-ōm-r-i	-PFV-1SG-2SG-PRES
-urd-ōm-s-i	-PFV-1SG-3SG-PRES
-urd-ōr-m-i	-PFV-2SG-1SG-PRES
-urd-ōr-s-i	-PFV-2SG-3SG-PRES
-urd-ōs-m-i	-PFV-3SG-1SG-PRES
-urd-ōs-r-i	-PFV-3SG-2SG-PRES
-urd-ōs-s-i	-PFV-3SG-3SG-PRES
-urd-ōm-man-i	-PFV-1SG-1PL-PRES
-urd-ōm-ran-i	-PFV-1SG-2PL-PRES
-urd-ōm-san-i	-PFV-1SG-3PL-PRES
-urd-ōr-man-i	-PFV-2SG-1PL-PRES
-urd-ōr-ran-i	-PFV-2SG-1PL-PRES
-urd-ōr-san-i	-PFV-2SG-3PL-PRES
-urd-ōs-man-i	-PFV-3SG-1PL-PRES
-urd-ōs-ran-i	-PFV-3SG-2PL-PRES
-urd-ōs-san-i	-PFV-3SG-3PL-PRES
-urd-ōm-r-a	-PFV-1SG-2SG-REM
-urd-ōm-s-a	-PFV-1SG-3SG-REM
-urd-ōr-m-a	-PFV-2SG-1SG-REM
-urd-ōr-s-a	-PFV-2SG-3SG-REM
-urd-ōs-m-a	-PFV-3SG-1SG-REM
-urd-ōs-r-a	-PFV-3SG-2SG-REM
-urd-ōs-s-a	-PFV-3SG-3SG-REM
-urd-ōm-man-a	-PFV-1SG-1PL-REM
-urd-ōm-ran-a	-PFV-1SG-2PL-REM
-urd-ōm-san-a	-PFV-1SG-3PL-REM
-urd-ōr-man-a	-PFV-2SG-1PL-REM
-urd-ōr-ran-a	-PFV-2SG-1PL-REM
-urd-ōr-san-a	-PFV-2SG-3PL-REM
-urd-ōs-man-a	-PFV-3SG-1PL-REM
-urd-ōs-ran-a	-PFV-3SG-2PL-REM
-urd-ōs-san-a	-PFV-3SG-3PL-REM
-ind-ōm-ur	-PFV-1SG-2SG
-ind-ōs-ur	-PFV-3SG-2SG
-k-ed-ōm-ur	-VTR-PFV-1SG-2SG
-k-ed-ōs-ur	-VTR-PFV-3SG-2SG
-naw-id-ōm-ur	-CAUS-PFV-1SG-2SG
-naw-id-ōs-ur	-CAUS-PFV-3SG-2SG
-r-ōm-ur	-PFV-1SG-2SG
-r-ōs-ur	-PFV-3SG-2SG
-ur-ōm	-PFV-1SG
-ur-ōr	-PFV-2SG
-ur-ōm-i	-PFV-1SG-PRES
-ur-ōr-i	-PFV-2SG-PRES
-ur-ōm-a	-PFV-1SG-REM
-ur-ōr-a	-PFV-2SG-REM
-ur-ōm-ur	-PFV-1SG-2SG
-ur-ōm-is	-PFV-1SG-3SG
-ur-ōr-im	-PFV-2SG-1SG
-ur-ōr-is	-PFV-2SG-3SG
-ur-ōs-im	-PFV-3SG-1SG
-ur-ōs-ur	-PFV-3SG-2SG
-ur-ōs-is	-PFV-3SG-3SG
-ur-ōm-man	-PFV-1SG-1PL
-ur-ōm-ran	-PFV-1SG-2PL
-ur-ōm-san	-PFV-1SG-3PL
-ur-ōr-man	-PFV-2SG-1PL
-ur-ōr-ran	-PFV-2SG-1PL
-ur-ōr-san	-PFV-2SG-3PL
-ur-ōs-man	-PFV-3SG-1PL
-ur-ōs-ran	-PFV-3SG-2PL
-ur-ōs-san	-PFV-3SG-3PL
-ur-ōm-r-i	-PFV-1SG-2SG-PRES
-ur-ōm-s-i	-PFV-1SG-3SG-PRES
-ur-ōr-m-i	-PFV-2SG-1SG-PRES
