-a	-M/REM
-k-ē-m	-2SG-1SG
-k-ē-s	-2SG-3SG
-k-ē-man	-2SG-1PL
-k-ē-ran	-2SG-2PL
-k-ē-san	-2SG-3PL
-k-ar-im	-3SG-1SG
-k-ar-ir	-3SG-2SG
-k-ar-is	-3SG-3SG
-k-ar-man	-3SG-1PL
-k-ar-ran	-3SG-2PL
-k-ar-san	-3SG-3PL
-k-an-im	-1PL-1SG
-k-an-ir	-1PL-2SG
-k-an-is	-1PL-3SG
-k-an-ran	-1PL-2PL
-k-an-san	-1PL-3PL
-k-as-im	-2PL-1SG
-k-as-ir	-2PL-2SG
-k-as-is	-2PL-3SG
-k-as-man	-2PL-1PL
-k-as-ran	-2PL-2PL
-k-as-san	-2PL-3PL
-k-ad-im	-3PL-1SG
-k-ad-ir	-3PL-2SG
-k-ad-is	-3PL-3SG
-k-ad-man	-3PL-1PL
-k-ad-ran	-3PL-2PL
-k-ad-san	-3PL-3PL
-k-am-r-i	-1SG-2SG-PRES
-k-am-s-i	-1SG-3SG-PRES
-k-am-man-i	-1SG-1PL-PRES
-k-am-ran-i	-1SG-2PL-PRES
-k-am-san-i	-1SG-3PL
-k-ē-m-i	-2SG-1SG
-k-ē-s-i	-2SG-3SG
-k-ē-man-i	-2SG-1PL
-k-ē-ran-i	-2SG-2PL
-k-ē-san-i	-2SG-3PL
-k-ar-m-i	-3SG-1SG
-k-ar-r-i	-3SG-2SG
-k-ar-s-i	-3SG-3SG
-k-ar-man-i	-3SG-1PL
-k-ar-ran-i	-3SG-2PL
-k-ar-san-i	-3SG-3PL
-k-an-m-i	-1PL-1SG
-k-an-r-i	-1PL-2SG
-k-an-s-i	-1PL-3SG
-k-an-ran-i	-1PL-2PL
-k-an-san-i	-1PL-3PL
-k-as-m-i	-2PL-1SG
-k-as-r-i	-2PL-2SG
-k-as-s-i	-2PL-3SG
-k-as-man-i	-2PL-1PL
-k-as-ran-i	-2PL-2PL
-k-as-san-i	-2PL-3PL
-k-ad-m-i	-3PL-1SG
-k-ad-r-i	-3PL-2SG
-k-ad-s-i	-3PL-3SG
-k-ad-man-i	-3PL-1PL
-k-ad-ran-i	-3PL-2PL
-k-ad-san-i	-3PL-3PL
-k-am-ir-a	-1SG-2SG-REM
-k-am-is-a	-1SG-3SG-REM
-k-am-man-a	-1SG-1PL-REM
-k-am-ran-a	-1SG-2PL-REM
-k-am-san-a	-1SG-3PL-REM
-k-ē-m-a	-2SG-1SG-REM
-k-ē-s-a	-2SG-3SG-REM
-k-ē-man-a	-2SG-1PL-REM
-k-ē-ran-a	-2SG-2PL-REM
-k-ē-san-a	-2SG-3PL-REM
-k-ar-m-a	-3SG-1SG-REM
-k-ar-r-a	-3SG-2SG-REM
-k-ar-s-a	-3SG-3SG-REM
-k-ar-man-a	-3SG-1PL-REM
-k-ar-ran-a	-3SG-2PL-REM
-k-ar-san-a	-3SG-3PL-REM
-k-an-m-a	-1PL-1SG-REM
-k-an-r-a	-1PL-2SG-REM
-k-an-s-a	-1PL-3SG-REM
-k-an-ran-a	-1PL-2PL-REM
-k-an-san-a	-1PL-3PL-REM
-k-as-m-a	-2PL-1SG-REM
-k-as-r-a	-2PL-2SG-REM
-k-as-s-a	-2PL-3SG-REM
-k-as-man-a	-2PL-1PL-REM
-k-as-ran-a	-2PL-2PL-REM
-k-as-san-a	-2PL-3PL-REM
-k-ad-m-a	-3PL-1SG-REM
-k-ad-r-a	-3PL-2SG-REM
-k-ad-s-a	-3PL-3SG-REm
-k-ad-man-a	-3PL-1PL-REM
-k-ad-ran-a	-3PL-2PL-REM
-k-ad-san-a	-3PL-3PL-REM
-š-am	-SUBJ-1SG
-š-ar	-SUBJ-3SG
-š-an	-SUBJ-1PL
-š-as	-SUBJ-2PL
-š-and	-SUBJ-3PL
